city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
1152194,Mae Sai,TH,20.43,99.88,01/25/20,            51.44,100,0,3.04
735682,Kleitos,GR,40.43,21.87,01/25/20,            38.66,74,99,5.82
149070,Utete,TZ,-7.99,38.76,01/25/20,            73.29,97,100,1.12
2014833,Tura,RU,64.28,100.25,01/25/20,            -1.28,97,100,6.67
5855051,'Ewa Beach,US,21.32,-158.01,01/25/20,            78.3,54,75,11.41
2173911,Broken Hill,AU,-31.95,141.43,01/25/20,            82.4,26,0,12.75
3897334,Calbuco,CL,-41.77,-73.13,01/25/20,            62.6,93,90,6.93
6355222,Yulara,AU,-25.24,130.99,01/25/20,            89.6,14,0,16.11
1563281,Tuy Hoa,VN,13.08,109.3,01/25/20,            75.56,82,99,3.38
3354071,Oranjemund,NA,-28.55,16.43,01/25/20,            66.22,83,85,9.84
6255012,Flinders,AU,-34.58,150.86,01/25/20,            88.83,49,21,8.05
3991350,Puerto Palomas,MX,31.77,-107.62,01/25/20,            62.6,25,1,13.87
705442,Kulevcha,UA,46.03,29.94,01/25/20,            33.71,51,8,5.66
2111530,Ofunato,JP,39.07,141.72,01/25/20,            24.8,73,75,4.7
5972762,Hay River,CA,60.82,-115.8,01/25/20,            12.2,92,90,2.24
6690297,Saint-Leu,RE,-21.15,55.28,01/25/20,            69.55,78,75,8.05
1272140,Dwarka,IN,22.24,68.97,01/25/20,            71.82,69,0,11.65
3646767,Caraballeda,VE,10.61,-66.85,01/25/20,            76.1,89,88,3.36
3470137,Belmonte,BR,-15.86,-38.88,01/25/20,            80.6,83,75,9.17
1568574,Qui Nhon,VN,13.77,109.23,01/25/20,            70.75,91,100,3.11
1622318,Waingapu,ID,-9.66,120.26,01/25/20,            83.35,76,61,6.35
2960970,Westport,IE,53.8,-9.52,01/25/20,            47.37,92,100,5.99
667303,Sfantu Gheorghe,RO,45.87,25.78,01/25/20,            29.66,87,99,1.01
4334971,New Iberia,US,30,-91.82,01/25/20,            55.65,76,90,6.93
1272983,Dhanaura,IN,28.97,78.25,01/25/20,            49.26,83,0,5.5
2278158,Buchanan,LR,5.88,-10.05,01/25/20,            77,100,20,0.67
110690,Abha,SA,18.22,42.51,01/25/20,            46.4,87,40,2.04
5879400,Anchorage,US,61.22,-149.9,01/25/20,            3,50,1,10.29
1637001,Biak,ID,-0.91,122.88,01/25/20,            81.3,78,27,3.8
2629833,Husavik,IS,66.04,-17.34,01/25/20,            30.2,92,90,8.05
2191562,Dunedin,NZ,-45.87,170.5,01/25/20,            66.51,68,49,19.01
202068,Kibungo,RW,-2.16,30.54,01/25/20,            65.62,63,100,0.72
2111704,Namie,JP,37.48,141,01/25/20,            34.38,53,75,1.12
5051640,Waconia,US,44.85,-93.79,01/25/20,            28.92,68,90,6.93
3905792,San Borja,BO,-14.82,-66.85,01/25/20,            79.25,81,86,1.21
2324857,Pindiga,NG,9.98,10.93,01/25/20,            63.64,23,13,13.62
3443061,Chui,UY,-33.7,-53.46,01/25/20,            67.91,76,24,7.36
101312,Turaif,SA,31.67,38.66,01/25/20,            37.4,93,7,4.7
2236967,Soyo,AO,-6.13,12.37,01/25/20,            79.75,88,100,9.42
2094746,Kandrian,PG,-6.22,149.55,01/25/20,            87.67,64,41,3.02
3581398,Punta Gorda,BZ,16.1,-88.81,01/25/20,            77,78,40,3.11
3398269,Imperatriz,BR,-5.53,-47.49,01/25/20,            82.4,94,20,2.24
57000,Hobyo,SO,5.35,48.53,01/25/20,            77.81,81,99,15.86
3465745,Conceicao do Mato Dentro,BR,-19.04,-43.42,01/25/20,            66.6,96,100,2.62
2120047,Ust'-Omchug,RU,61.15,149.63,01/25/20,            -23.67,97,100,11.25
5895424,Bay Roberts,CA,47.6,-53.26,01/25/20,            18.61,78,5,16.11
3347019,Mossamedes,AO,-15.2,12.15,01/25/20,            74.95,73,7,11.05
2155562,Nelson Bay,AU,-32.72,152.15,01/25/20,            89.49,49,38,8.05
1497497,Nizhniy Ingash,RU,56.2,96.53,01/25/20,            23.72,91,100,4.41
2234359,Bertoua,CM,4.58,13.68,01/25/20,            62.1,25,65,4.41
4550881,Sapulpa,US,36,-96.11,01/25/20,            50.23,57,75,3.36
3464724,Diamantino,BR,-14.41,-56.45,01/25/20,            76.15,82,94,3.58
3445026,Vila Velha,BR,-20.33,-40.29,01/25/20,            71.31,94,75,4.7
712441,Berdychiv,UA,49.9,28.6,01/25/20,            30.38,91,78,8.68
3404558,Cabedelo,BR,-6.98,-34.83,01/25/20,            82.4,83,75,5.82
2129868,Iwanai,JP,42.97,140.51,01/25/20,            16.12,90,100,3.49
4033557,Tautira,PF,-17.73,-149.15,01/25/20,            87.44,66,20,14.99
1152472,Lampang,TH,18.33,99.5,01/25/20,            52.79,93,8,2.71
1279945,Jiuquan,CN,39.74,98.52,01/25/20,            14.04,30,0,6.6
964712,Plettenberg Bay,ZA,-34.05,23.37,01/25/20,            68.27,84,39,10.8
3355672,Luderitz,NA,-26.65,15.16,01/25/20,            68,82,0,10.29
3374462,Mindelo,CV,16.89,-24.98,01/25/20,            69.8,88,98,20.8
2253354,Dakar,SN,14.69,-17.44,01/25/20,            73.4,64,46,19.46
3407407,Aquiraz,BR,-3.9,-38.39,01/25/20,            84.4,74,20,8.05
331259,Mega,ET,4.05,38.3,01/25/20,            68.4,75,100,5.59
3349580,Chissamba,AO,-12.17,17.33,01/25/20,            64.36,97,100,3.33
6319315,Fonte Boa,BR,-2.5,-66.27,01/25/20,            77.68,81,100,0.98
2630299,Hofn,IS,64.25,-15.21,01/25/20,            36.39,92,91,4.54
2701680,Karlstad,SE,59.38,13.5,01/25/20,            42.89,87,100,18.34
4130430,Searcy,US,35.25,-91.74,01/25/20,            44.2,75,40,8.05
1813775,Daokou,CN,35.56,114.51,01/25/20,            35.96,51,100,11.25
3939168,Huarmey,PE,-10.07,-78.15,01/25/20,            78.64,56,99,3.98
1503726,Kharp,RU,66.8,65.81,01/25/20,            -5.48,98,73,2.44
1848976,Wajima,JP,37.4,136.9,01/25/20,            42.8,62,75,10.29
3868626,Valparaiso,CL,-33.04,-71.63,01/25/20,            63.25,88,30,4.7
5975034,High Prairie,CA,55.43,-116.49,01/25/20,            30.34,84,0,5.08
3979494,Estacion Coahuila,MX,32.19,-115,01/25/20,            75.38,23,1,3.56
1178338,Gilgit,PK,35.92,74.31,01/25/20,            11.05,91,96,3.13
2122104,Petropavlovsk-Kamchatsky,RU,53.05,158.65,01/25/20,            21.2,79,40,4.47
3650956,Sucua,EC,-2.47,-78.17,01/25/20,            65.91,97,100,1.68
1513087,Nurota,UZ,40.56,65.69,01/25/20,            30.2,92,75,11.41
3374333,Praia,CV,14.92,-23.51,01/25/20,            77,47,40,16.11
2020744,Listvyanka,RU,51.85,104.87,01/25/20,            1.4,77,36,8.95
2788727,Poperinge,BE,50.85,2.69,01/25/20,            38.32,100,73,6.93
5354943,Half Moon Bay,US,37.46,-122.43,01/25/20,            61.03,87,40,4
2194098,Ahipara,NZ,-35.17,173.17,01/25/20,            68.88,80,59,10.51
779082,Lakselv,NO,70.05,24.97,01/25/20,            20.98,100,90,28.86
1489822,Teguldet,RU,57.31,88.17,01/25/20,            16.75,94,100,8.19
6162949,Terrace,CA,54.52,-128.6,01/25/20,            36.46,93,90,16.11
933815,Dekar,BW,-21.53,21.93,01/25/20,            72.23,67,8,4.29
2036892,Hohhot,CN,40.81,111.65,01/25/20,            6.8,71,0,4.47
1163054,Turbat,PK,26,63.04,01/25/20,            62.01,87,0,1.19
580783,Arti,RU,56.42,58.53,01/25/20,            14.45,96,100,6.73
